ID	Name	AttributeOne	AttributeTwo	AttributeThree
14164	彩·碎冰·大化·杯雪(肆)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
14165	彩·碎冰·大化·杯雪(伍)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
14166	彩·碎冰·大化·杯雪(陆)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarCriticalDamagePowerBase
14152	彩·碎冰·大化·霜冷(肆)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarAttackPowerBase
14153	彩·碎冰·大化·霜冷(伍)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarAttackPowerBase
14154	彩·碎冰·大化·霜冷(陆)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarAttackPowerBase
14158	彩·碎冰·大化·冻髓(肆)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarOvercomeBase
14159	彩·碎冰·大化·冻髓(伍)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarOvercomeBase
14160	彩·碎冰·大化·冻髓(陆)	atLunarHitValue	atDecriticalDamagePowerBase	atLunarOvercomeBase
14140	彩·碎冰·杯雪·霜冷(肆)	atLunarHitValue	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
14141	彩·碎冰·杯雪·霜冷(伍)	atLunarHitValue	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
14142	彩·碎冰·杯雪·霜冷(陆)	atLunarHitValue	atLunarCriticalDamagePowerBase	atLunarAttackPowerBase
14146	彩·碎冰·杯雪·冻髓(肆)	atLunarHitValue	atLunarCriticalDamagePowerBase	atLunarOvercomeBase
14147	彩·碎冰·杯雪·冻髓(伍)	atLunarHitValue	atLunarCriticalDamagePowerBase	atLunarOvercomeBase
14148	彩·碎冰·杯雪·冻髓(陆)	atLunarHitValue	atLunarCriticalDamagePowerBase	atLunarOvercomeBase
14122	彩·碎冰·霜冷·杯雪(肆)	atLunarHitValue	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
14123	彩·碎冰·霜冷·杯雪(伍)	atLunarHitValue	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
14124	彩·碎冰·霜冷·杯雪(陆)	atLunarHitValue	atLunarAttackPowerBase	atLunarCriticalDamagePowerBase
14116	彩·碎冰·霜冷·冻髓(肆)	atLunarHitValue	atLunarAttackPowerBase	atLunarOvercomeBase
14117	彩·碎冰·霜冷·冻髓(伍)	atLunarHitValue	atLunarAttackPowerBase	atLunarOvercomeBase
