szKey	szValue
STR_LIBRARY_RECIPEINIT	◇生活技藝配方資料載入完畢！
STR_LIBRARY_DIAMONDINIT	◇五彩石數據載入完畢！
STR_LIBRARY_NEWVERSION	發現交易行助手新版本：%s，去下載頁面？
STR_TIP_ALL	全部
STR_TIP_COOKING	烹飪
STR_TIP_TAILORING	縫紉
STR_TIP_FOUNDING	鑄造
STR_TIP_MEDICINE	醫術
STR_TIP_DONOTDISASSEMBLE	不能拆解
STR_TIP_DEBUGINFO	調試用信息
STR_TIP_STACK	拆堆
STR_TIP_SPLITTIP	左鍵拆分，右鍵堆疊\n或ALT+滑鼠左鍵點擊物品拆分。
STR_TIP_TOTAL	物品總數：
STR_TIP_BAG	    背包：
STR_TIP_BANk	    倉庫：
STR_TIP_PRICE	價格：
STR_TIP_RECIPELEARN	相關技藝配方<已學習>
STR_TIP_RECIPEUNLEARN	相關技藝配方<未學習>
STR_PRODUCE_AUXILIARY	輔助類
STR_PRODUCE_ENHANCED	增強類
STR_PRODUCE_DRUGENHANCED	藥品增強
STR_PRODUCE_DRUGAUXILIARY	藥品輔助
STR_PRODUCE_COOKINGENHANCED	烹飪增強
STR_PRODUCE_COOKINGAUXILIARY	烹飪輔助
STR_PRODUCE_ENCHANTING	附魔
STR_PRODUCE_OTHER	其他
STR_PRODUCE_PARRY	招架
STR_PRODUCE_PARRYVALUE	拆招
STR_PRODUCE_SHIELD	防禦
STR_PRODUCE_THREAT	威脅值
STR_PRODUCE_PHYSICSATTACK	外功攻擊
STR_PRODUCE_PHYSICSHIT	外功命中
STR_PRODUCE_PHYSICSCRITICALSTRIKE	外功會心
STR_PRODUCE_PHYSICSCRITICALDAMAGE	外功會效
STR_PRODUCE_MAGICATTACK	內功攻擊
STR_PRODUCE_MAGICWEAPONDAMAGE	內功傷害
STR_PRODUCE_MAGICHIT	內功命中
STR_PRODUCE_MAGICCRITICALSTRIKE	內功會心
STR_PRODUCE_MAGICCRITICALDAMAGE	內功會效
STR_PRODUCE_THERAPYPOWER	治療成效
STR_PRODUCE_STRENGTH	力道
STR_PRODUCE_SPIRIT	根骨
STR_PRODUCE_SPUNK	元氣
STR_PRODUCE_AGILITY	身法
STR_PRODUCE_POTENTIAL	屬性
STR_PRODUCE_VITALITY	體質
STR_PRODUCE_PHYSICSOVERCOME	外功破防
STR_PRODUCE_MAGICOVERCOME	內功破防
STR_PRODUCE_HIT	命中
STR_PRODUCE_DODGE	閃避
STR_PRODUCE_HASTE	加速
STR_PRODUCE_STRAIN	無雙
STR_PRODUCE_TOUGHNESS	禦勁
STR_PRODUCE_DECRITICALDAMAGE	化勁
STR_PRODUCE_HATE	仇恨
STR_PRODUCE_MOVESPEED	移動速度
STR_PRODUCE_MAGICSHIELD	內功防禦
STR_PRODUCE_PHYSICSSHIELD	外功防禦
STR_PRODUCE_KEY	鑰匙
STR_PRODUCE_ENERGY	精力
STR_PRODUCE_BODYSTRENGTH	體力
STR_PRODUCE_FAVORABILITY	好感度
STR_PRODUCE_UNLEARNED	[未學]
STR_PRODUCE_NEEDSKILL	需要技藝：<D0> <D1>
STR_PRODUCE_STRENGTHEN	增強
STR_PRODUCE_AID	輔助
STR_PRODUCE_CRITICALPOWER	會效
STR_PRODUCE_CRITICALDAMAGEPOWERBASE	會心效果
STR_PRODUCE_CRITICALSTRIKE	會心
STR_PRODUCE_CRITICALSTRIKELEVEL	會心等級
STR_PRODUCE_THERAPY	治療
STR_PRODUCE_CURE	療
STR_PRODUCE_MATERIAL	材料
STR_PRODUCE_HAT	帽子
STR_PRODUCE_JACKET	上衣
STR_PRODUCE_WRIST	護腕
STR_PRODUCE_BELT	腰帶
STR_PRODUCE_PANTS	下裝
STR_PRODUCE_SHOE	鞋子
