szKey	szValue
STR_LIBRARY_RECIPEINIT	Nạp dữ liệu Công Thức Kỹ năng sống hoàn tất!
STR_LIBRARY_DIAMONDINIT	Nạp dữ liệu Đá Ngũ Sắc hoàn tất!
STR_LIBRARY_NEWVERSION	Phát hiện phiên bản hiện tại là：%s, bạn có muốn update?
STR_TIP_ALL	Tất cả
STR_TIP_COOKING	Nấu nướng
STR_TIP_TAILORING	Ma vá
STR_TIP_FOUNDING	Rèn
STR_TIP_MEDICINE	Dược
STR_TIP_DONOTDISASSEMBLE	Không thể tách
STR_TIP_DEBUGINFO	Debug Info
STR_TIP_STACK	Gộp
STR_TIP_SPLITTIP	L_Click để tách, R_Click để gộp\nGiữ phím Alt + L_Click để phân chia
STR_TIP_TOTAL	Tổng số vật phẩm:
STR_TIP_BAG	    Túi:
STR_TIP_BANk	    Kho:
STR_TIP_PRICE	Giá:
STR_TIP_RECIPELEARN	<Đã học> Công thức điều chế 
STR_TIP_RECIPEUNLEARN	<Chưa học> Công thức điều chế 
STR_PRODUCE_AUXILIARY	Phụ ma
STR_PRODUCE_ENHANCED	Cường hóa
STR_PRODUCE_DRUGENHANCED	Thuốc cường hóa
STR_PRODUCE_DRUGAUXILIARY	Thuốc phụ trợ
STR_PRODUCE_COOKINGENHANCED	Thức ăn cường hóa
STR_PRODUCE_COOKINGAUXILIARY	Thức ăn phụ trợ
STR_PRODUCE_ENCHANTING	Phụ ma
STR_PRODUCE_OTHER	Khác
STR_PRODUCE_PARRY	Chống đỡ
STR_PRODUCE_PARRYVALUE	Phá giải
STR_PRODUCE_SHIELD	Né Tránh
STR_PRODUCE_THREAT	Uy hiếp
STR_PRODUCE_PHYSICSATTACK	Ngoại công
STR_PRODUCE_PHYSICSHIT	Chính xác ngoại
STR_PRODUCE_PHYSICSCRITICALSTRIKE	Tỉ lệ bạo kích ngoại
STR_PRODUCE_PHYSICSCRITICALDAMAGE	Hiệu quả bạo kích ngoại
STR_PRODUCE_MAGICATTACK	Nội công
STR_PRODUCE_MAGICWEAPONDAMAGE	Sát thương nội
STR_PRODUCE_MAGICHIT	Chính xác nội
STR_PRODUCE_MAGICCRITICALSTRIKE	Tỉ lệ bạo kích nội
STR_PRODUCE_MAGICCRITICALDAMAGE	Hiệu quả bạo kích nội
STR_PRODUCE_THERAPYPOWER	Hiệu quả trị liệu
STR_PRODUCE_STRENGTH	Lực đạo
STR_PRODUCE_SPIRIT	Căn cốt
STR_PRODUCE_SPUNK	Nguyên khí
STR_PRODUCE_AGILITY	Thân pháp
STR_PRODUCE_POTENTIAL	Thuộc tính
STR_PRODUCE_VITALITY	Thể chất
STR_PRODUCE_PHYSICSOVERCOME	Phá phòng ngoại
STR_PRODUCE_MAGICOVERCOME	Phá phòng nội
STR_PRODUCE_HIT	Chính xác
STR_PRODUCE_DODGE	Né tránh
STR_PRODUCE_HASTE	Tốc độ đánh
STR_PRODUCE_STRAIN	Vô song
STR_PRODUCE_TOUGHNESS	Ngự kình
STR_PRODUCE_DECRITICALDAMAGE	Hóa kình
STR_PRODUCE_HATE	Cừu hận
STR_PRODUCE_MOVESPEED	Tốc độ chạy
STR_PRODUCE_MAGICSHIELD	Phòng thủ nội
STR_PRODUCE_PHYSICSSHIELD	Phòng thủ ngoại
STR_PRODUCE_KEY	Chìa khóa
STR_PRODUCE_ENERGY	Tinh lực
STR_PRODUCE_BODYSTRENGTH	Thể lực
STR_PRODUCE_FAVORABILITY	Độ thân mật
STR_PRODUCE_UNLEARNED	[Chưa học]
STR_PRODUCE_NEEDSKILL	Yêu cầu：<D0> <D1>
STR_PRODUCE_STRENGTHEN	Tăng cường
STR_PRODUCE_AID	Phụ trợ
STR_PRODUCE_CRITICALPOWER	Hiệu quả bạo kích
STR_PRODUCE_CRITICALDAMAGEPOWERBASE	Cấp hiệu quả bạo kích
STR_PRODUCE_CRITICALSTRIKE	Tỉ lệ bạo kích
STR_PRODUCE_CRITICALSTRIKELEVEL	Cấp tỉ lệ bạo kích
STR_PRODUCE_THERAPY	Hiệu quả trị liệu
STR_PRODUCE_CURE	Trị
STR_PRODUCE_MATERIAL	Nguyên liệu
STR_PRODUCE_HAT	Mũ
STR_PRODUCE_JACKET	Áo
STR_PRODUCE_WRIST	Bao tay
STR_PRODUCE_BELT	Thắt lưng
STR_PRODUCE_PANTS	Quần
STR_PRODUCE_SHOE	Giày
STR_PRODUCE_WEAPON	Vũ khí
STR_PRODUCE_MAKE	Chế tạo (%S)
STR_PRODUCE_MAKETIPS	Giữ SHIFT + R_Click để chế tạo số lượng lớn
STR_PRODUCE_POSITION	Vị trí
STR_PRODUCE_PRODUCEHELPER	Craft Helper
